nohup: ignoring input
t=2025-10-29T04:40:49+0530 lvl=info msg="no configuration paths supplied"
t=2025-10-29T04:40:49+0530 lvl=info msg="using configuration at default config path" path=/home/nitesh/.config/ngrok/ngrok.yml
t=2025-10-29T04:40:49+0530 lvl=info msg="open config file" path=/home/nitesh/.config/ngrok/ngrok.yml err=nil
t=2025-10-29T04:40:49+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-10-29T04:40:49+0530 lvl=info msg="client session established" obj=tunnels.session
t=2025-10-29T04:40:49+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-10-29T05:45:46+0530 lvl=info msg="join connections" obj=join id=d7d7e6b60964 l=127.0.0.1:8080 r=140.82.115.65:48108
t=2025-10-29T05:46:04+0530 lvl=info msg="join connections" obj=join id=14f16d7341b4 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:52653
t=2025-10-29T05:46:15+0530 lvl=info msg="join connections" obj=join id=36d7eb8f913c l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:52653
t=2025-10-29T05:46:15+0530 lvl=info msg="join connections" obj=join id=22546c1c6995 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:52653
t=2025-10-29T05:46:36+0530 lvl=info msg="join connections" obj=join id=780f46c6bf80 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:52653
t=2025-10-29T05:46:37+0530 lvl=info msg="join connections" obj=join id=a191ed50bc21 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:51608
t=2025-10-29T05:46:39+0530 lvl=info msg="join connections" obj=join id=15b6c6a8d9f4 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:62238
t=2025-10-29T05:47:12+0530 lvl=info msg="join connections" obj=join id=cfc3a1b5b514 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:51398
t=2025-10-29T05:47:14+0530 lvl=info msg="join connections" obj=join id=11e9fdd580e3 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:51398
t=2025-10-29T05:47:26+0530 lvl=info msg="join connections" obj=join id=504b945848ac l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:51529
t=2025-10-29T05:47:38+0530 lvl=info msg="join connections" obj=join id=0664d6dab206 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:51529
t=2025-10-29T05:49:20+0530 lvl=info msg="join connections" obj=join id=52886c284ab7 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:65500
t=2025-10-29T05:49:23+0530 lvl=info msg="join connections" obj=join id=59ed65d649d2 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:62338
t=2025-10-29T05:49:25+0530 lvl=info msg="join connections" obj=join id=83bfcd9eed6b l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:65402
t=2025-10-29T05:49:26+0530 lvl=info msg="join connections" obj=join id=9a067f77a67e l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:65402
t=2025-10-29T05:49:27+0530 lvl=info msg="join connections" obj=join id=b7341c4ac4d2 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:59391
t=2025-10-29T05:49:37+0530 lvl=info msg="join connections" obj=join id=8c2d5306e3f8 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:60318
t=2025-10-29T05:49:39+0530 lvl=info msg="join connections" obj=join id=67681e6812c4 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:63823
t=2025-10-29T05:49:47+0530 lvl=info msg="join connections" obj=join id=d1ea44822038 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:63823
